to be needed;требоваться ;tuː biː ˈniːdɪd 
to touch ;трогать ;tuː tʌʧ  
to kill ;убивать ;tuː kɪl  
to threaten ;угрожать ;tuː ˈθrɛtn  
to be surprised ;удивляться ;tuː biː səˈpraɪzd  
to have dinner;ужинать ;tuː hæv ˈdɪnə 
to decorate ;украшать ;tuː ˈdɛkəreɪt  
to smile ;улыбаться ;tuː smaɪl  
to mention ;упоминать ;tuː ˈmɛnʃən  
to participate ;участвовать ;tuː pɑːˈtɪsɪpeɪt  
to boast ;хвастаться ;tuː bəʊst  
to want;хотеть ;tuː wɒnt 
to be hungry;хотеть есть ;tuː biː ˈhʌŋgri 
to be thirsty ;хотеть пить ;tuː biː ˈθɜːsti  
to read ;читать ;tuː riːd  
to joke ;шутить ;tuː ʤəʊk  
